card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
ex15-46,Dratini δ,Dragon Frontiers,Common,2006/11/01,tcgplayer,reverseHolofoil,62.46,,,,2026-07-28
ex15-46,Dratini δ,Dragon Frontiers,Common,2006/11/01,cardmarket,normal,1.15,0.99,0.75,1.78,2026-07-28
sm4-48,Oranguru,Crimson Invasion,Rare,2017/11/03,tcgplayer,normal,0.29,,,,2026-07-28
sm4-48,Oranguru,Crimson Invasion,Rare,2017/11/03,tcgplayer,reverseHolofoil,0.39,,,,2026-07-28
sm4-48,Oranguru,Crimson Invasion,Rare,2017/11/03,cardmarket,normal,0.19,0.23,0.2,0.23,2026-07-28
ex6-53,Bellsprout,FireRed & LeafGreen,Common,2004/09/01,tcgplayer,normal,2.68,,,,2026-07-28
ex6-53,Bellsprout,FireRed & LeafGreen,Common,2004/09/01,tcgplayer,reverseHolofoil,11.83,,,,2026-07-28
ex6-53,Bellsprout,FireRed & LeafGreen,Common,2004/09/01,cardmarket,normal,1.64,0.75,2.17,1.06,2026-07-28
xy2-65,Floette,Flashfire,Uncommon,2014/05/07,tcgplayer,normal,0.37,,,,2026-07-28
xy2-65,Floette,Flashfire,Uncommon,2014/05/07,tcgplayer,reverseHolofoil,1.28,,,,2026-07-28
xy2-65,Floette,Flashfire,Uncommon,2014/05/07,cardmarket,normal,0.39,0.54,0.31,0.25,2026-07-28
xy3-46,Machamp,Furious Fists,Rare Holo,2014/08/13,tcgplayer,holofoil,1.05,,,,2026-07-28
xy3-46,Machamp,Furious Fists,Rare Holo,2014/08/13,tcgplayer,reverseHolofoil,2.28,,,,2026-07-28
xy3-46,Machamp,Furious Fists,Rare Holo,2014/08/13,cardmarket,normal,1.04,0.49,0.83,0.95,2026-07-28
sm3-53,Dusknoir,Burning Shadows,Rare Holo,2017/08/05,tcgplayer,holofoil,0.43,,,,2026-07-28
sm3-53,Dusknoir,Burning Shadows,Rare Holo,2017/08/05,tcgplayer,reverseHolofoil,0.38,,,,2026-07-28
sm3-53,Dusknoir,Burning Shadows,Rare Holo,2017/08/05,cardmarket,normal,0.67,0.55,0.73,0.46,2026-07-28
